ISSUE,SEVERITY,FILES
This App uses Java Hash Code. It's a weak hash function and should never be used in Secure Crypto Implementation.,high,myjava/awt/datatransfer/DataFlavor.java  javax/mail/URLName.java  javax/mail/Flags.java  javax/mail/search/RecipientTerm.java  javax/mail/search/OrTerm.java  javax/mail/search/AndTerm.java  javax/mail/search/DateTerm.java  javax/mail/search/NotTerm.java  javax/mail/search/AddressTerm.java  javax/mail/search/IntegerComparisonTerm.java  javax/mail/search/FlagTerm.java  javax/mail/search/StringTerm.java  javax/mail/search/HeaderTerm.java  javax/mail/search/RecipientStringTerm.java  javax/mail/internet/InternetAddress.java  javax/mail/internet/UniqueValue.java  javax/mail/internet/NewsAddress.java  com/plexus/as_cancelas/TareaDascargaImagenesListaNoticias.java
The App logs information. Sensitive information should never be logged.,info,javax/mail/internet/MailDateFormat.java  com/plexus/as_cancelas/GcmIntentService.java  com/plexus/as_cancelas/MainActivity.java  com/sun/activation/registries/LogSupport.java  com/sun/mail/dsn/DeliveryStatus.java  com/sun/mail/imap/protocol/BODYSTRUCTURE.java
IP Address disclosure,warning,com/plexus/as_cancelas/MainActivity.java  com/plexus/as_cancelas/TareaCargarListaAlfab.java  com/plexus/as_cancelas/TareaCargarListaCategorias.java
MD5 is a weak hash known to have hash collisions.,high,com/sun/mail/pop3/Protocol.java  com/sun/mail/smtp/DigestMD5.java
