URL,File
https://consumer.exacttargetapis.com  https://{env}app.igodigital.com,com/salesforce/marketingcloud/c.java
https://consumer.exacttargetapis.com,com/salesforce/marketingcloud/messages/cloudpage/e.java
https://consumer.exacttargetapis.com,com/salesforce/marketingcloud/messages/cloudpage/c.java
https://consumer.exacttargetapis.com,com/salesforce/marketingcloud/messages/proximity/c.java
https://consumer.exacttargetapis.com,com/salesforce/marketingcloud/messages/geofence/c.java
https://{env}app.igodigital.com,com/salesforce/marketingcloud/analytics/b/r.java
https://consumer.exacttargetapis.com,com/salesforce/marketingcloud/analytics/a/b.java
https://consumer.exacttargetapis.com,com/salesforce/marketingcloud/registration/e.java
https://consumer.exacttargetapis.com/device/v1/registration,com/salesforce/marketingcloud/registration/RegistrationManager.java
https://metrics.brightcove.com/v2/tracker,com/brightcove/player/analytics/Analytics.java
https://api.brightcove.com/services/library  https://api.brightcove.co.jp/services/library,com/brightcove/player/media/MediaService.java
https://edge.api.brightcove.com/playback/v1,com/brightcove/player/edge/Catalog.java
http://www.w3.org/xml/1998/namespace  http://www.w3.org/ns/ttml#styling  http://xmlpull.org/v1/doc/features.html#process-namespaces  http://www.w3.org/ns/ttml#metadata,com/brightcove/player/captioning/TTMLParser.java
